"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five","stale.mate"
"4386",6,2880,0.74,0,27,3508,1,0,5,3,0,0
"4387",1,-1565,0.52,3,21,0,0,0,18,1,0,0
"4388",2,-1095,0.93,2,8,0,1,0,6,1,0,0
"4389",3,12834,0.38,0,212,1419,1,7,9,6,2,0
"4390",4,-992,0.82,4,71,5878,1,2,29,4,3,0
"4391",5,-809,0.26,1,10,0,0,0,6,1,0,0
"4392",6,-44,0.43,5,218,0,1,9,29,4,0,0
"4393",1,-133,0.59,2,50,2658,1,1,14,3,1,1
"4394",2,8428,0.61,5,501,3396,1,15,14,6,0,1
"4395",3,-53,0.07,3,52,1629,0,0,1,0,0,1
"4396",4,-1004,0.73,1,11,0,1,0,10,2,5,1
"4397",5,-45,0.06,4,412,1802,0,9,10,2,0,1
"4398",6,32762,0.43,0,492,1782,1,14,10,3,1,1
"4399",1,-456,0.69,4,49,1588,1,1,7,0,1,0
"4400",2,-521,0.87,3,26,1290,0,0,8,1,2,0
"4401",3,-489,0.61,1,10,0,1,0,5,1,0,0
"4402",4,8565,0.71,0,177,2789,1,8,6,5,0,0
"4403",5,-8,0.66,6,168,2517,0,7,26,5,4,0
"4404",6,-449,0.62,2,22,1418,1,1,4,1,1,0
"4405",1,-25,0.51,2,20,1599,0,4,8,1,4,0
"4406",2,1531,0.98,0,57,2442,1,0,6,3,0,0
"4407",3,-260,1,1,14,-240,0,1,6,1,1,0
"4408",4,-1293,0.35,4,27,1480,0,0,7,2,3,0
"4409",5,-22,0.44,5,57,2293,0,0,12,1,0,0
"4410",6,-306,0.17,3,24,1480,0,0,3,0,2,0
"4411",1,-1177,0.83,3,27,1896,1,1,12,1,1,0
"4412",2,-457,0.61,1,20,2145,0,1,8,1,0,0
"4413",3,-117,0.17,4,28,244,0,0,8,0,0,0
"4414",4,-288,0.22,5,28,1181,0,1,4,0,0,0
"4415",5,-198,0.19,2,24,2376,1,1,2,0,0,0
"4416",6,7467,0.82,0,27,2756,0,0,3,2,6,0
"4417",1,-58,0.98,1,17,642,0,1,9,1,3,0
"4418",2,-291,0.91,4,51,2021,1,4,10,1,0,0
"4419",3,-164,0.33,3,36,1673,0,2,6,1,2,0
"4420",4,3503,0.15,0,64,2910,0,0,1,3,2,0
"4421",5,-458,0.02,2,24,1412,0,2,0,0,0,0
"4422",6,-672,0.03,5,62,0,0,2,0,0,0,0
"4423",1,-325,0.96,4,44,1615,0,2,11,1,1,0
"4424",2,2055,0.55,0,54,0,1,2,5,4,1,0
"4425",3,-465,0.98,2,19,1530,0,0,12,2,0,0
"4426",4,-385,0.78,5,51,1503,1,5,15,1,1,0
"4427",5,-584,0.5,1,13,0,0,0,5,1,5,0
"4428",6,-535,0.77,3,36,839,0,3,12,0,2,0
"4429",1,-165,0.57,2,10,0,0,0,7,0,3,0
"4430",2,757,0.71,0,63,0,1,5,8,1,2,0
"4431",3,-357,0.55,4,22,799,0,0,7,2,0,0
"4432",4,-129,0.76,3,15,21,1,0,8,1,1,0
"4433",5,-542,0.64,1,8,0,0,1,6,1,2,0
"4434",6,-53,0.44,5,68,2290,0,1,16,1,2,0
"4435",1,-892,0.05,3,36,1606,0,0,1,0,0,0
"4436",2,-595,0.29,5,55,1739,0,1,12,1,1,0
"4437",3,-258,0.77,1,13,0,0,0,9,1,5,0
"4438",4,-1146,0.89,4,50,0,0,0,20,1,3,0
"4439",5,5005,0.59,0,56,2220,0,1,6,3,0,0
"4440",6,-933,0.63,2,12,0,0,1,6,0,1,0
"4441",1,-33,0.42,4,23,3200,1,1,18,2,3,0
"4442",2,-476,0.68,5,40,1247,1,2,11,1,1,0
"4443",3,2519,0.75,0,39,4447,0,2,6,2,3,0
"4444",4,-49,0.49,2,13,0,0,0,6,0,0,0
"4445",5,-215,0.65,1,11,0,0,1,9,1,2,0
"4446",6,-185,0.43,3,17,475,1,0,7,0,2,0
"4447",1,-373,0.5,2,17,877,0,2,5,0,1,0
"4448",2,-363,0.44,5,31,0,0,0,10,0,0,0
"4449",3,-1059,0.24,3,23,2665,0,2,7,0,1,0
"4450",4,-379,0.28,4,21,1051,0,1,6,1,2,0
"4451",5,978,0.42,0,33,3869,1,1,4,3,3,0
"4452",6,-12,0.16,1,11,0,0,0,3,1,2,0
"4453",1,-35,0.31,3,60,999,0,4,9,2,0,0
"4454",2,-378,0.85,1,11,0,0,1,9,1,3,0
"4455",3,-100,0.02,2,45,1699,0,0,0,0,0,0
"4456",4,13167,0.52,0,138,0,1,4,7,5,5,0
"4457",5,-7,0.37,5,133,1936,1,3,19,2,1,0
"4458",6,-29,0.44,4,88,0,1,4,18,2,1,0
"4459",1,-432,0.5,3,51,1926,1,2,17,4,3,0
"4460",2,-311,0.28,4,192,2458,0,6,13,2,4,0
"4461",3,-235,0.92,1,13,0,0,0,5,0,2,0
"4462",4,26948,0.49,0,353,2589,1,9,6,8,3,0
"4463",5,-28,1,5,340,2760,1,10,19,1,3,0
"4464",6,-152,0.03,2,36,1066,0,3,0,0,0,0
