"","Var1","Freq","winning.prop","prop.order$money.made","prop.order$group"
"249",24,58,FALSE,5000,5
"259",25,59,TRUE,11600,9
"269",26,48,FALSE,1848,6
"279",27,42,FALSE,1606,6
"2810",28,71,FALSE,3560,0
"299",29,45,FALSE,1872,6
"3112",31,50,TRUE,3510,7
"3210",32,63,TRUE,2392,7
"349",34,39,TRUE,1624,7
"359",35,13,TRUE,7425,9
"379",37,35,TRUE,2100,8
"398",39,38,TRUE,2950,8
"140",1,6,TRUE,14,1
"330",3,9,TRUE,40,1
"510",5,11,TRUE,1800,9
"610",6,11,TRUE,5500,2
"810",8,10,TRUE,4120,2
"910",9,12,TRUE,6600,2
"1114",11,9,TRUE,1300,3
"1211",12,15,TRUE,970,0
"1310",13,9,TRUE,2425,3
"1410",14,7,TRUE,2012,3
"1510",15,12,TRUE,1800,9
"1610",16,14,TRUE,224,4
"1810",18,9,TRUE,70,4
"1910",19,11,TRUE,144,4
"2110",21,16,TRUE,198,5
"2310",23,8,FALSE,36,5
"2410",24,19,TRUE,320,5
"2510",25,8,TRUE,850,9
"2610",26,13,TRUE,264,6
"2710",27,9,TRUE,242,6
"2811",28,10,TRUE,570,0
"2910",29,11,TRUE,240,6
"3113",31,10,TRUE,104,7
"3211",32,14,TRUE,260,7
"3410",34,9,TRUE,280,7
"3510",35,4,TRUE,1600,9
"3710",37,6,TRUE,245,8
"399",39,10,TRUE,600,8
"150",1,6,TRUE,1250,1
"331",3,5,TRUE,1800,1
"511",5,10,TRUE,600,9
"611",6,2,FALSE,0,2
"811",8,6,FALSE,18,2
"911",9,2,FALSE,0,2
"1115",11,8,TRUE,3050,3
"1212",12,6,FALSE,290,0
"1311",13,6,TRUE,2250,3
"1411",14,5,TRUE,3600,3
"1511",15,6,TRUE,300,9
"1611",16,8,FALSE,242,4
"1811",18,6,TRUE,28,4
"1911",19,9,FALSE,80,4
"2111",21,3,FALSE,0,5
"2311",23,8,TRUE,0,5
"2411",24,7,FALSE,40,5
"2511",25,4,FALSE,100,9
"2611",26,3,FALSE,0,6
"2711",27,5,FALSE,22,6
"2812",28,5,FALSE,200,0
"2911",29,7,TRUE,48,6
"3114",31,7,TRUE,130,7
"3212",32,5,FALSE,52,7
"3411",34,3,TRUE,56,7
"3511",35,4,TRUE,0,9
"3711",37,3,FALSE,1275,8
"3910",39,7,FALSE,50,8
"160",1,4,FALSE,30,1
"332",3,4,FALSE,324,1
"512",5,12,FALSE,500,9
"612",6,5,FALSE,1100,2
"812",8,2,FALSE,6,2
"912",9,4,FALSE,1800,2
"1116",11,5,TRUE,40,3
"1213",12,4,FALSE,180,0
"1312",13,1,FALSE,0,3
"1412",14,3,TRUE,0,3
"1512",15,6,FALSE,500,9
"1612",16,5,FALSE,56,4
"1812",18,5,FALSE,0,4
"1912",19,9,FALSE,112,4
"2112",21,9,TRUE,4468,5
"2312",23,2,TRUE,0,5
"2412",24,7,TRUE,1930,5
"2512",25,2,FALSE,0,9
"2612",26,7,FALSE,110,6
"2712",27,4,FALSE,44,6
"2813",28,8,TRUE,490,0
"2912",29,3,FALSE,0,6
"3115",31,5,FALSE,26,7
"3213",32,10,FALSE,52,7
"3412",34,6,FALSE,0,7
"3512",35,5,FALSE,550,9
"3712",37,3,TRUE,4500,8
"3911",39,14,TRUE,2000,8
"170",1,4,TRUE,500,1
"333",3,4,TRUE,458,1
"513",5,4,FALSE,400,9
"613",6,6,TRUE,276,2
"813",8,7,TRUE,552,2
"913",9,3,TRUE,600,2
"1117",11,5,FALSE,20,3
"1214",12,7,TRUE,350,0
"1313",13,2,FALSE,0,3
"1413",14,4,FALSE,24,3
"1513",15,6,FALSE,800,9
"1613",16,6,TRUE,3870,4
"1813",18,5,TRUE,2850,4
"1913",19,5,TRUE,4000,4
"2113",21,2,FALSE,18,5
"2313",23,3,FALSE,0,5
"2413",24,9,FALSE,0,5
"2513",25,6,FALSE,975,9
"2613",26,3,TRUE,88,6
"2713",27,4,TRUE,44,6
"2814",28,4,TRUE,160,0
"2913",29,3,TRUE,24,6
"3116",31,7,FALSE,26,7
"3214",32,2,FALSE,26,7
"3413",34,2,FALSE,0,7
"3513",35,5,FALSE,400,9
"3713",37,6,FALSE,105,8
"3912",39,5,FALSE,100,8
"171",1,7,FALSE,92,1
"334",3,3,FALSE,240,1
"514",5,7,FALSE,150,9
"614",6,6,TRUE,2750,2
"814",8,4,TRUE,1650,2
"914",9,9,TRUE,4058,2
"1118",11,6,TRUE,20,3
"1215",12,5,FALSE,170,0
"1314",13,4,TRUE,760,3
"1414",14,2,TRUE,0,3
"1514",15,6,FALSE,150,9
"1614",16,6,FALSE,14,4
"1814",18,5,FALSE,0,4
"1914",19,13,TRUE,128,4
"2114",21,8,FALSE,0,5
"2314",23,3,FALSE,180,5
"2414",24,9,FALSE,140,5
"2514",25,6,FALSE,300,9
"2614",26,6,FALSE,88,6
"2714",27,9,FALSE,132,6
"2815",28,4,FALSE,170,0
"2914",29,4,TRUE,0,6
"3117",31,4,TRUE,78,7
"3215",32,6,TRUE,1290,7
"3414",34,5,TRUE,562,7
"3514",35,3,FALSE,200,9
"3714",37,5,FALSE,0,8
"3913",39,6,TRUE,100,8
"172",1,25,TRUE,6000,1
"335",3,21,TRUE,8554,1
"515",5,37,TRUE,5800,9
"615",6,28,FALSE,306,2
"815",8,29,FALSE,282,2
"915",9,24,FALSE,296,2
"1119",11,32,TRUE,440,3
"1216",12,36,FALSE,2032,0
"1315",13,31,TRUE,520,3
"1415",14,24,TRUE,492,3
"1515",15,35,TRUE,6175,9
"1615",16,35,FALSE,6600,4
"1815",18,37,FALSE,6428,4
"1915",19,34,FALSE,2304,4
"2115",21,37,FALSE,1152,5
"2315",23,33,FALSE,954,5
"2415",24,53,FALSE,1620,5
"2515",25,37,TRUE,6650,9
"2615",26,40,FALSE,1518,6
"2715",27,23,FALSE,836,6
"2816",28,31,FALSE,1720,0
"2915",29,33,FALSE,1392,6
"3118",31,29,TRUE,4810,7
"3216",32,23,TRUE,3432,7
"3415",34,29,TRUE,1456,7
"3515",35,8,TRUE,5600,9
"3715",37,23,TRUE,1120,8
"3914",39,40,TRUE,2750,8
"173",1,5,FALSE,50,1
"336",3,6,FALSE,24,1
"516",5,6,FALSE,800,9
"616",6,9,TRUE,880,2
"816",8,6,TRUE,1112,2
"916",9,7,TRUE,712,2
"1120",11,2,FALSE,10,3
"1217",12,6,FALSE,200,0
"1316",13,5,FALSE,10,3
"1416",14,4,FALSE,24,3
"1516",15,6,FALSE,800,9
"1616",16,9,TRUE,70,4
"1816",18,5,FALSE,42,4
"1916",19,8,FALSE,64,4
"2116",21,6,TRUE,3168,5
"2316",23,5,TRUE,1218,5
"2416",24,12,TRUE,2400,5
"2516",25,7,FALSE,600,9
"2616",26,3,FALSE,0,6
"2716",27,6,FALSE,66,6
"2817",28,3,TRUE,100,0
"2916",29,11,FALSE,168,6
"3119",31,5,FALSE,0,7
"3217",32,5,FALSE,104,7
"3416",34,7,FALSE,168,7
"3516",35,3,FALSE,850,9
"3716",37,8,FALSE,105,8
"3915",39,7,FALSE,0,8
"174",1,4,FALSE,350,1
"337",3,4,FALSE,1350,1
"517",5,3,FALSE,0,9
"617",6,5,FALSE,546,2
"817",8,2,FALSE,90,2
"917",9,6,TRUE,900,2
"1121",11,11,FALSE,220,3
"1218",12,8,TRUE,164,0
"1317",13,7,FALSE,90,3
"1417",14,7,FALSE,84,3
"1517",15,5,FALSE,250,9
"1617",16,6,FALSE,28,4
"1817",18,10,TRUE,42,4
"1917",19,5,FALSE,0,4
"2117",21,4,TRUE,0,5
"2317",23,10,TRUE,4218,5
"2417",24,7,TRUE,2240,5
"2517",25,5,FALSE,325,9
"2617",26,7,TRUE,22,6
"2717",27,6,TRUE,88,6
"2818",28,4,TRUE,70,0
"2917",29,5,FALSE,24,6
"3120",31,2,FALSE,130,7
"3218",32,7,FALSE,0,7
"3417",34,4,FALSE,140,7
"3517",35,1,TRUE,25,9
"3717",37,9,FALSE,0,8
"3916",39,3,TRUE,50,8
"175",1,5,TRUE,1000,1
"338",3,8,TRUE,2700,1
"518",5,5,FALSE,150,9
"618",6,4,FALSE,270,2
"818",8,4,FALSE,270,2
"918",9,7,FALSE,308,2
"1122",11,10,FALSE,2295,3
"1219",12,8,FALSE,154,0
"1318",13,3,FALSE,460,3
"1418",14,10,FALSE,2908,3
"1518",15,7,FALSE,300,9
"1618",16,7,TRUE,1770,4
"1818",18,4,TRUE,28,4
"1918",19,7,TRUE,48,4
"2118",21,7,FALSE,90,5
"2318",23,3,FALSE,0,5
"2418",24,6,FALSE,60,5
"2518",25,7,FALSE,150,9
"2618",26,5,FALSE,308,6
"2718",27,4,FALSE,198,6
"2819",28,5,FALSE,120,0
"2918",29,7,TRUE,168,6
"3121",31,6,TRUE,1275,7
"3219",32,6,TRUE,3825,7
"3418",34,4,TRUE,1028,7
"3518",35,1,FALSE,200,9
"3718",37,5,TRUE,0,8
"3917",39,6,TRUE,350,8
"176",1,5,TRUE,18,1
"339",3,7,TRUE,24,1
"519",5,4,FALSE,100,9
"619",6,12,TRUE,4470,2
"819",8,8,TRUE,426,2
"919",9,7,TRUE,1100,2
"1123",11,12,TRUE,4570,3
"1220",12,10,FALSE,394,0
"1319",13,6,TRUE,3000,3
"1419",14,9,TRUE,4512,3
"1519",15,6,FALSE,400,9
"1619",16,10,TRUE,154,4
"1819",18,8,TRUE,154,4
"1919",19,11,TRUE,160,4
"2119",21,8,TRUE,252,5
"2319",23,11,FALSE,144,5
"2419",24,8,FALSE,400,5
"2519",25,5,FALSE,550,9
"2619",26,13,TRUE,594,6
"2719",27,11,TRUE,990,6
"2820",28,7,FALSE,370,0
"2919",29,7,TRUE,456,6
"3122",31,8,TRUE,104,7
"3220",32,5,TRUE,52,7
"3419",34,5,TRUE,140,7
"3519",35,13,FALSE,300,9
"3719",37,15,FALSE,1610,8
"3918",39,9,FALSE,300,8
"177",1,6,TRUE,284,1
"340",3,1,TRUE,0,1
"520",5,6,FALSE,150,9
"620",6,4,FALSE,12,2
"820",8,2,TRUE,0,2
