"","players","player.cash","player.comfort","bankrupt.players","turn","total.value.fifteen","owned.blue","times.in.jail","properties.sold","color.sets","props.at.five"
"208",4,-111,0.86,3,20,1143,0,3,8,2,0
"209",5,-894,0.82,4,32,2072,0,0,15,1,2
"210",6,-615,0.74,1,11,0,0,1,11,1,4
"211",1,-365,0.81,3,30,0,1,0,7,1,2
"212",2,6302,0.25,0,48,0,1,1,6,2,4
"213",3,-307,0.21,1,16,923,0,1,4,1,0
"214",4,-190,0.58,2,30,1553,0,0,10,1,3
"215",5,-787,0.19,5,50,1394,0,3,10,1,0
"216",6,-89,0.85,4,32,1691,1,2,6,0,1
"217",1,2618,0.35,0,33,1402,0,0,2,1,4
"218",2,-586,0.95,3,27,1853,0,1,8,1,3
"219",3,-453,0.79,4,31,733,0,1,9,1,5
"220",4,-12,0.73,5,36,1180,1,5,7,0,1
"221",5,-36,0.17,2,20,0,0,0,5,1,3
"222",6,-179,0.57,1,18,1186,0,0,5,0,0
"223",1,-893,0.16,1,24,1851,0,1,5,1,3
"224",2,-1853,0.94,3,27,1959,0,0,11,1,1
"225",3,-1232,0.09,2,23,0,0,1,3,1,0
"226",4,-237,0.69,4,28,1643,0,3,9,1,2
"227",5,4585,0.97,0,45,0,1,1,8,2,4
"228",6,-793,0.39,5,48,2393,0,7,3,0,0
"229",1,-44,0.1,5,45,1976,0,2,6,0,0
"230",2,-60,0.51,1,16,10,0,0,7,1,0
"231",3,2279,0.37,0,48,0,0,1,10,3,0
"232",4,-306,0.6,4,38,3024,1,3,13,2,2
"233",5,-156,0.98,3,19,0,0,0,5,0,2
"234",6,-540,0.77,2,13,0,0,0,2,0,2
"235",1,501,0.93,0,61,4965,1,1,14,4,2
"236",2,-203,1,2,17,239,0,0,9,0,4
"237",3,-861,0.21,5,63,2717,0,3,16,1,0
"238",4,-332,0.97,1,6,0,0,0,6,0,4
"239",5,-125,0.79,3,20,388,0,1,4,0,2
"240",6,-520,0.17,4,52,1304,0,0,7,0,0
"241",1,-704,0.27,2,19,1595,0,2,9,0,2
"242",2,5320,0.61,0,31,3002,0,0,4,1,2
"243",3,-522,0.02,5,37,1848,0,0,0,0,0
"244",4,-1024,0.7,3,20,2537,0,0,11,1,3
"245",5,-570,0.21,1,15,230,0,0,6,1,0
"246",6,-995,0.08,4,30,1848,0,1,1,0,0
"247",1,-8,0.2,1,10,0,0,0,6,0,5
"248",2,-521,0.47,3,42,2101,0,0,9,2,0
"249",3,3702,0.22,0,51,4437,1,0,9,3,3
"250",4,-268,0.65,2,30,0,0,0,15,0,3
"251",5,-319,0.01,4,42,1790,0,0,0,0,0
"252",6,-206,0.37,5,50,0,1,1,12,2,2
"253",1,-136,0.1,4,38,1388,0,0,3,0,1
"254",2,1298,0.12,0,49,3527,1,1,3,4,3
"255",3,-50,0.39,3,18,0,0,3,4,1,3
"256",4,-71,0.88,5,49,3177,1,0,14,1,2
"257",5,-314,0.82,1,11,0,0,0,5,0,2
"258",6,-313,0.95,2,14,-313,0,1,6,0,3
"259",1,6116,0.19,0,66,3078,1,1,4,3,3
"260",2,-62,0.01,2,44,1836,0,1,0,0,0
"261",3,-259,0.6,3,58,752,0,2,12,1,4
"262",4,-631,0.63,5,67,1460,1,4,19,1,2
"263",5,-455,0.03,1,45,1806,0,2,0,0,0
"264",6,-901,0.13,4,61,0,0,2,4,0,0
"265",1,-3,0.36,5,34,1617,0,2,10,0,3
"266",2,-151,0.52,1,18,1944,0,0,6,2,2
"267",3,-10,0.02,2,19,1300,0,0,0,0,0
"268",4,-195,0.01,4,34,0,0,1,0,0,0
"269",5,4621,0.47,0,39,2680,0,0,7,2,3
"270",6,-655,0.17,3,25,0,0,0,3,1,2
"271",1,-216,0.29,2,47,2304,1,0,10,0,0
"272",2,-4,0.24,1,11,0,1,0,8,3,4
"273",3,-903,0.72,5,63,0,0,6,12,1,3
"274",4,5850,0.5,0,61,2801,1,6,5,2,3
"275",5,-1481,0.15,4,58,1591,0,0,8,2,1
"276",6,-1913,0.23,3,54,1658,0,0,12,2,0
"277",1,-507,0.94,5,57,2767,1,1,20,2,0
"278",2,-34,0.22,3,16,66,0,0,6,0,3
"279",3,-360,0.74,4,35,1929,1,1,15,1,0
"280",4,1663,0.51,0,50,3195,1,1,7,1,1
"281",5,-132,0.68,1,12,0,0,1,7,0,0
"282",6,-168,0.65,2,13,0,0,2,7,1,3
"283",1,2151,0.48,0,55,0,1,0,7,1,2
"284",2,-592,0.95,3,25,1123,0,0,7,1,1
"285",3,-6,0.97,5,57,2173,1,1,15,2,0
"286",4,-291,0.47,4,24,2179,1,1,13,3,4
"287",5,-58,0.88,1,13,0,0,1,5,1,2
"288",6,-79,0.52,2,21,858,0,0,5,1,0
"289",1,-314,0.25,1,17,1348,0,2,8,2,4
"290",2,-110,0.83,2,15,750,1,0,9,1,2
"291",3,-34,0.66,3,23,522,0,3,7,1,5
"292",4,4733,0.86,0,34,0,0,0,4,1,1
"293",5,-617,0.08,4,27,1948,0,1,4,0,1
"294",6,-208,0.8,5,35,1410,0,0,6,1,3
"295",1,-14,0.56,5,49,1927,0,2,14,1,3
"296",2,-433,0.07,4,43,1055,0,1,0,0,0
"297",3,3376,0.82,0,48,1996,1,2,5,3,0
"298",4,-277,0.77,2,18,2213,1,1,8,2,5
"299",5,-390,0.19,3,29,2368,0,1,12,1,2
"300",6,-461,0.53,1,19,0,0,0,3,0,2
"301",1,-1419,0.08,2,28,1814,0,0,0,0,0
"302",2,-61,0.7,5,50,0,0,0,11,1,2
"303",3,-91,0.02,1,22,1854,0,0,0,0,0
"304",4,-801,0.54,3,21,878,0,0,8,0,1
